0,1,2022-07-07,18:27,519
0,2,2022-12-21,17:40,590
0,3,2022-08-21,15:12,695
0,4,2022-04-26,12:31,250
0,5,2022-04-30,18:31,243
0,6,2022-10-13,14:40,193
0,7,2022-08-22,16:17,433
0,8,2021-12-25,16:29,236
0,9,2021-12-07,13:26,229
0,10,2022-02-21,19:05,177
0,11,2022-06-11,20:57,470
0,12,2022-08-10,19:55,577
0,13,2022-07-27,19:54,627
0,14,2022-08-24,16:10,187
0,15,2022-09-24,16:14,302
0,16,2022-06-02,16:23,411
0,17,2022-11-11,16:24,250
0,18,2022-10-04,14:33,612
0,19,2022-06-13,20:23,199
0,20,2022-06-10,14:50,516
0,1,2022-09-12,12:18,104
0,2,2022-07-25,14:22,427
0,3,2022-03-17,13:34,508
0,4,2022-05-08,13:49,102
0,5,2022-11-06,15:09,514
0,6,2022-04-14,20:59,543
0,7,2022-09-28,18:20,682
0,8,2022-11-04,20:26,240
0,9,2022-12-08,13:33,682
0,10,2022-06-28,12:42,308
0,11,2022-09-05,20:58,242
0,12,2022-01-22,18:32,316
0,13,2022-09-25,19:26,445
0,14,2022-01-15,13:20,484
0,15,2021-12-20,17:54,143
0,16,2022-05-24,16:07,464
0,17,2022-08-12,17:34,254
0,18,2022-10-29,16:24,373
0,19,2022-05-24,17:09,440
0,20,2022-10-08,16:36,166
0,1,2022-03-13,16:42,570
0,2,2022-07-22,11:07,121
0,3,2022-03-18,15:48,638
0,4,2022-01-05,13:14,356
0,5,2022-10-18,19:06,589
0,6,2022-04-19,18:36,685
0,7,2022-07-18,12:21,342
0,8,2022-11-18,18:51,328
0,9,2022-12-16,20:20,191
0,10,2022-06-17,13:07,566
0,11,2022-01-14,13:30,118
0,12,2021-12-28,20:12,617
0,13,2022-05-21,12:28,547
0,14,2022-11-14,13:03,458
0,15,2022-09-23,15:05,199
0,16,2022-02-12,15:45,547
0,17,2022-06-14,16:28,109
0,18,2022-12-28,12:50,700
0,19,2022-10-27,16:47,204
0,20,2021-12-02,16:26,630
0,1,2022-10-17,19:00,364
0,2,2022-11-14,14:15,121
0,3,2022-02-19,11:12,221
0,4,2022-11-29,17:23,190
0,5,2022-07-16,13:40,154
0,6,2022-12-09,15:05,230
0,7,2022-12-01,13:15,564
0,8,2022-05-24,19:53,201
0,9,2022-03-28,14:05,539
0,10,2022-06-19,15:56,500
0,11,2022-04-04,11:45,181
0,12,2022-09-14,17:42,478
0,13,2022-02-20,14:00,478
0,14,2022-07-23,11:56,628
0,15,2022-05-19,12:40,490
0,16,2022-04-24,13:20,687
0,17,2022-12-06,15:57,603
0,18,2022-12-19,14:30,598
0,19,2022-08-05,16:06,355
0,20,2022-01-02,11:30,364
0,1,2022-07-20,17:58,592
0,2,2022-08-15,11:29,629
0,3,2021-12-07,11:33,519
0,4,2022-04-16,20:23,253
0,5,2022-03-17,16:01,178
0,6,2021-12-31,11:49,274
0,7,2022-08-01,11:18,678
0,8,2022-11-19,11:30,145
0,9,2022-07-07,12:20,237
0,10,2022-11-23,17:59,316
0,11,2022-08-21,19:41,443
0,12,2022-01-11,13:11,288
0,13,2022-03-11,13:10,611
0,14,2022-10-07,17:55,512
0,15,2022-10-15,11:25,220
0,16,2022-01-07,14:52,490
0,17,2022-07-07,15:51,350
0,18,2022-03-06,14:35,184
0,19,2022-06-19,14:41,621
0,20,2022-06-28,19:50,391
